country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments
HUN,MSZP,1408,Hungarian Socialist Party,388504,mszpfb,Hungary,1989,9999,43.2,2006,,TRUE,TRUE,TRUE,TRUE,mszptweet,,,
HUN,MKKP,6129,Hungarian Two-tailed Dog Party,924382,justanotherwordpresspage,Hungary,2018,2018,3.1,2018,,TRUE,TRUE,TRUE,TRUE,ketfarkukutya,,,
HUN,Jobbik,42,Movement for a Better Hungary,887474,JobbikMagyarorszagertMozgalom,Hungary,2003,9999,20.2,2014,,TRUE,TRUE,TRUE,TRUE,JobbikMM,,,
HUN,MHM,7349,Our Homeland Movement,6105716,mihazank,Hungary,2018,9999,3.3,2019,,TRUE,TRUE,TRUE,TRUE,MiHazank,,,
HUN,Ö,8265,Unity,8346372,osszefogas.spolupatricnost,Hungary,2014,2014,25.6,2014,,TRUE,TRUE,TRUE,FALSE,,,,
IRL,DDI,3209,Direct Democracy Ireland,342782,directdemocracyireland,Ireland,2010,9999,1.4,2014,,TRUE,TRUE,TRUE,TRUE,ddi,,,
IRL,FF,1055,Fianna Fail – The Republican Party,428421,fiannafail,Ireland,1926,9999,51.9,1938,,TRUE,TRUE,TRUE,TRUE,fiannafailparty,,,
IRL,FG,1288,Fine Gael (Familiy of the Irish),423894,FineGael,Ireland,1944,9999,39.2,1982,,TRUE,TRUE,TRUE,TRUE,FineGael,,,
IRL,Greens,1775,Green Party,675436,GreenPartyIreland,Ireland,1989,9999,4.7,2007,,TRUE,TRUE,TRUE,TRUE,greenparty_ie,,,
IRL,Lab,562,Labour Party,553866,thelabourparty,Ireland,1912,9999,21.3,1922,,TRUE,TRUE,TRUE,TRUE,labour,,,
IRL,PBPA,242,People Before Profit Alliance,3252882,peopleb4profit,Ireland,2005,9999,1,2011,,TRUE,TRUE,TRUE,TRUE,pb4p,,,
IRL,RI,4869,Renua Ireland,3193280,renuairl,Ireland,2016,2016,2.2,2016,,TRUE,TRUE,TRUE,TRUE,RENUAIreland,,,
IRL,DS,4870,Social Democrats,2300730,socialdemocratsireland,Ireland,2015,9999,3,2016,,TRUE,TRUE,TRUE,TRUE,SocDems,,,
IRL,WP,208,Workers Party,3193301,workerspartyireland,Ireland,1970,9999,5,1989,,TRUE,TRUE,TRUE,TRUE,workersparty,,,
ITA,FdI,2280,Brothers of Italy,385815,FdI.paginaufficiale,Italy,2013,9999,2,2012,,TRUE,TRUE,TRUE,TRUE,FratellidItalia,,,
ITA,PD,802,Democratic Party,391247,partitodemocratico,Italy,2007,9999,34,2008,,TRUE,TRUE,TRUE,TRUE,pdnetwork,,,
ITA,FI,8058,Forward Italy (2013),386665,ForzaItaliaUfficiale,Italy,2013,9999,14,2018,,TRUE,TRUE,TRUE,TRUE,forza_italia,,,
ITA,LeU,8246,Free and Equal,2656819,liberieuguali2018,Italy,2017,9999,3.4,2018,,TRUE,TRUE,TRUE,TRUE,liberi_uguali,,,
ITA,SI,1212,Italian Left,7319858,lasinistraguengl,Italy,2009,9999,3.2,2013,,TRUE,TRUE,TRUE,TRUE,SinistraUe,,,
ITA,IBC,8057,Italy. Common Good,7319828,italiaincomune,Italy,2012,2013,29.5,2013,,TRUE,TRUE,TRUE,TRUE,ItaliainComune,,,
ITA,#NAME?,6155,More Europe,2738621,piueuropa,Italy,2017,9999,2.8,2018,,TRUE,TRUE,TRUE,TRUE,Piu_Europa,,,
ITA,NCD,2052,New Centre-Right,12065163,emanuele.esposito.3939503,Italy,2013,2017,4.4,2014,,TRUE,TRUE,TRUE,FALSE,,,,
ITA,LN,1221,North League,369755,legasalvinipremier,Italy,1989,9999,10.1,1996,,TRUE,TRUE,TRUE,TRUE,LegaSalvini,,,
ITA,SVP,1369,South Tyrol Peoples Party,2471112,suedtiroler.volkspartei,Italy,1948,9999,0.6,1994,,TRUE,TRUE,TRUE,TRUE,SVP_Suedtirol,,,
ITA,TSIPRAS,6685,The Other Europe with Tsipras,888313,AltraEuropaConTsipras,Italy,2014,9999,4,2014,,TRUE,TRUE,TRUE,TRUE,altraeuropa,,,
ITA,NcI,6158,Us with Italy,2868177,NoiconlitaliaOfficial,Italy,2017,2018,1.3,2018,,TRUE,TRUE,TRUE,TRUE,noiconitalia,,,
LVA,AP!,8393,Development/For!,7067956,Attistibai.Par,Latvia,2018,9999,12,2018,,TRUE,TRUE,TRUE,TRUE,AttistibaiPar,,,
LVA,LRa,3194,Latvian Association of Regions,2831387,latvijasregionuapvieniba,Latvia,2014,9999,6.7,2014,,TRUE,TRUE,TRUE,TRUE,LRApvieniba,,,
LVA,LAAT,3213,Latvian Development,474577,Attistibai,Latvia,2013,9999,12.1,2018,,TRUE,TRUE,TRUE,TRUE,attistibai,,,
LVA,LSDSP,741,Latvian Social Democratic Workers' Party,2831520,lsdsp,Latvia,1918,9999,12.8,1998,,TRUE,TRUE,TRUE,TRUE,lsdsp,,,
LVA,JKP,6355,New Conservative Party,2831528,konservativie,Latvia,2014,9999,13.7,2018,,TRUE,TRUE,TRUE,TRUE,konservativie,,,
LVA,SDPS,5976,"Social Democratic Party ""Harmony""",2831345,sdpsLV,Latvia,2009,9999,23,2014,,TRUE,TRUE,TRUE,FALSE,,,,
LVA,P,6357,The Progressive,2831681,PROGRESIVIE,Latvia,2017,9999,2.6,2018,,TRUE,TRUE,TRUE,TRUE,Progresivie,,,
LVA,V,852,Unity,2831358,JaunaVienotiba.lv,Latvia,2010,9999,31.9,2010,,TRUE,TRUE,TRUE,TRUE,Jauna_Vienotiba,,,
LVA,KPVLV,6356,Who owns the state?,2831607,KamPiederValsts,Latvia,2016,9999,14.3,2018,,TRUE,TRUE,TRUE,TRUE,KamPiederValsts,,,
LTU,LLRA,556,Election Action of Lithuania's Poles,12065174,trakulenkai,Lithuania,1992,9999,5.8,2012,,TRUE,TRUE,TRUE,FALSE,,,,
LTU,TS-LKD,193,Homeland Union / Homeland Union – Lithuanian Christian Democrats,6503717,tslkd,Lithuania,1993,9999,31.3,1996,,TRUE,TRUE,TRUE,TRUE,tslkd,,,
LTU,DP,102,Labour Party,426081,darbopartija,Lithuania,2003,9999,28.4,2004,,TRUE,TRUE,TRUE,TRUE,darbopartija,,,
LTU,LCP,5455,Lithuanian Centre Party,8309858,centristai,Lithuania,2003,9999,6.3,2016,,TRUE,TRUE,TRUE,FALSE,,,,
LTU,LVŽS / LVLS,1490,Lithuanian Farmers and Greens Union / Lithuanian Peasant Popular Union,7530926,gandrai,Lithuania,2001,9999,22.5,2016,,TRUE,TRUE,TRUE,FALSE,,,,
LTU,LZP,1407,Lithuanian Green Party,7050021,Lietuvoszaliujupartija,Lithuania,2011,9999,2,2016,,TRUE,TRUE,TRUE,FALSE,,,,
LTU,LTS,377,Lithuanian National Union,1.08E+14,tautininkai ,Lithuania,1924,9999,2,1992,,TRUE,TRUE,TRUE,,,,,
LTU,LSDP,64,Lithuanian Social Democratic Party,7530821,socdemai,Lithuania,1896,9999,20.6,2004,,TRUE,TRUE,TRUE,FALSE,,,,
LTU,TT-LDP,237,Order and Justice – Liberal Democratic Party,6314407,tvarka.lt,Lithuania,2002,9999,12.7,2008,,TRUE,TRUE,TRUE,FALSE,,,,
LUX,ADR,1114,Alternative Democratic Reform Party,519718,AlternativDemokrateschReformpartei,Luxembourg,1987,9999,10.4,1999,,TRUE,TRUE,TRUE,TRUE,adr_lu,,,
LUX,LSAP,186,Luxembourg Socialist Workers' Party,2824879,lsap.lu,Luxembourg,1902,9999,41.5,1948,,TRUE,TRUE,TRUE,TRUE,lsap_lu,,,
LUX,Pi,2065,Pirate Party Luxembourg,2824896,Piratepartei,Luxembourg,2009,9999,2.9,2013,,TRUE,TRUE,TRUE,TRUE,Piratepartei,,,
LUX,Greng/GAP,1138,The Greens,2824880,deigreng,Luxembourg,1979,9999,11.7,2009,,TRUE,TRUE,TRUE,TRUE,deigreng,,,
LUX,DL,271,The Left,2824883,lenk.lu,Luxembourg,1999,9999,4.9,2013,,TRUE,TRUE,TRUE,TRUE,dei_lenk,,,
MLT,AD,62,Democratic Alternative,3196730,alternattiva,Malta,1992,9999,1.8,2013,x,TRUE,TRUE,TRUE,TRUE,adpd_mt,,This party merged with the Democratic party (below) in Oct 2020. The two party's new twitter is now listed here (old twitter deleted). The demokratic party's old twitter is still there. Both FB pages have been deleted and the new one is now @adpdmt,
MLT,PD,7354,Democratic Party,2.48E+14,PartitDemokratiku ,Malta,2016,9999,2,2019,,TRUE,TRUE,TRUE,TRUE,Demokratiku,,,
