country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments,twitter_handle_lower,author_id
IRL,SF,4,Sinn Fein (Provisional),NA,sinnfein,Ireland,1970,9999,9.9,2011,NA,FALSE,TRUE,TRUE,TRUE,sinnfeinireland,NA,NA,NA,sinnfeinireland,22628924
IRL,SP,1448,Socialist Party,NA,SocialistPartyIreland,Ireland,1996,9999,1.2,2011,NA,FALSE,TRUE,TRUE,TRUE,SocialistParty,NA,NA,NA,socialistparty,25310399
ITA,MSFT,1101,Fiamma Tricolore,NA,FiammaTricolore.official,Italy,1999,9999,2.5,2008,NA,FALSE,TRUE,TRUE,TRUE,fiammatricolore,NA,NA,NA,fiammatricolore,1332330672850149400
ITA,RI,8248,Italian Radicals,NA,radicali,Italy,2001,9999,2.6,2006,NA,FALSE,TRUE,TRUE,TRUE,Radicali,NA,NA,NA,radicali,150196030
ITA,PP,772,Pensioners' Party,NA,famigliapensionati,Italy,1987,9999,1.2,2004,NA,FALSE,TRUE,TRUE,TRUE,part_pensionati,NA,NA,NA,part_pensionati,1241650855
ITA,UDC,1758,Union of Christian and Centre Democrats,NA,UdcIta,Italy,2002,9999,6.8,2006,NA,FALSE,TRUE,TRUE,TRUE,UdcIta,NA,NA,NA,udcita,788291127384367100
LVA,NA,7619,National Alliance,NA,NacionalaApvieniba,Latvia,NA,NA,NA,NA,x,FALSE,TRUE,TRUE,TRUE,VL_TBLNNK,"According to Wiki all for latvia (Row 332) , and  For Fatherland and Freedom Party (Row 336) merged in 2011 to form the National Alliance .  This party wasn't on this sheet initally but it is listed in Partyfacts, so I've added it here",NA,NA,vl_tblnnk,30717518
AUT,OVP,1329,Austrian People's Party,449876,Volkspartei,Austria,1945,9999,49.8,1945,NA,TRUE,TRUE,TRUE,TRUE,volkspartei,NA,NA,NA,volkspartei,11043512
AUT,NEOS,1970,NEOS – The New Austria,392511,NeosDasNeueOesterreich,Austria,2012,9999,5,2013,NA,TRUE,TRUE,TRUE,TRUE,neos_eu,NA,NA,NA,neos_eu,819698388
AUT,SPO,1384,Social Democratic Party of Austria,410804,Sozialdemokratie,Austria,1888,9999,51,1979,NA,TRUE,TRUE,TRUE,TRUE,SPOE_at,NA,NA,NA,spoe_at,26750370
