partyfacts_id,parlgov_id,country,handle,facebook_id,year,total_posts,total_likes,total_shares,total_comments,twitter_handle,author_id,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt,mean_vote_share,mean_seats,seats_total,cabinet_party_max,prime_minister_max,left_right,populist,farright,farleft,poppa_populism_mean,gps_populism,...29,gdp_growth,pop_growth,pop,net_migr,unemp_nat,unemp_ilo,refugee,tax_gdp,income_l20,trade_gdp,gdp,internet_adoption,socialmedia,refugee_change,everyday_social_networks_imputed,election_year,keep,left_right_s,poppa_populism_s,gps_populism_s,gdp_s,pop_s,everyday_social_networks_imputed_s,gdp_growth_s,net_migr_s,refugee_s,refugee_change_s,seats_per,twitter_active,facebook_active,duration,years_observed,populist_cat
1407,21,LTU,lietuvoszaliujupartija,7050021,2019,194,7010,1405,706,NA,NA,-1,NA,NA,NA,NA,2.03,1,141,0,0,2.5,0,0,0,NA,NA,215,4.943100002,-0.264704355,2794137,-13398,6.255,6.26,1822,19.9659267,7,149.1762114,17256.40815,81.58186838,51.3,91,51.3,0,1,-0.5679862797556858,NA,NA,0.6824626896005089,-0.5596575551014586,0.5475299269077781,0.11898073898883547,0.5693710029060975,0.6712979961771058,-0.0484255008270227,0.7092198581560284,0,1,8,9,np
1407,21,LTU,lietuvoszaliujupartija,7050021,2020,276,15177,3016,3332,NA,NA,-1,NA,NA,NA,NA,1.7,1,141,0,0,2.5,0,0,0,NA,NA,216,-0.051369085,0.026766758,2794885,-12625,8.487,8.49,1880,19.98001451,7.1,136.912607,17247.54369,83.05554724,NA,58,50.6253510531527,1,1,-0.5679862797556858,NA,NA,0.6803292512889852,-0.5560024034749074,0.5186906813829484,-1.0970656850606069,0.6396211862845663,0.7400882502023216,-0.2459362513911714,0.7092198581560284,0,1,9,9,np
1231,26,CHE,fdp.dieliberalen,470915,2010,113,892,0,115,fdp_liberalen,39250641,122,3,32,0,NA,15.8,31,200,1,0,6.3249,0,0,0,1.7939212,3.07142857,338,2.173638164,1.041558058,7824909,75604,4.808,4.81,48813,9.364008039,7.8,120.0651233,81315.42286,83.9,NA,2609,18.1523815151084,0,2,0.21689769919206056,-0.4719464447944361,-0.4123279244393112,-0.667628343326911,-0.7815192475978726,-0.7925976286440929,0.608695701122032,0.4069114873646409,-0.5416742779897468,-0.44433018583428363,15.5,1,1,1,11,np
1231,26,CHE,fdp.dieliberalen,470915,2011,177,1659,27,384,fdp_liberalen,39250641,460,10,171,60,5,15.1,30,200,1,0,6.3249,0,0,0,1.7939212,3.07142857,339,0.68733987,1.111878943,7912398,66975,4.409,4.41,50401,9.321952188,7.9,125.5562732,81874.33619,85.19302818,NA,1588,20.6040248837307,1,2,0.21689769919206056,-0.4719464447944361,-0.4123279244393112,-0.5234131206224178,-0.6239586513612233,-0.656200869076697,0.04490092883559447,0.11924432563846983,-0.5108578572020236,-0.5663566515906069,15,1,1,2,11,np
1231,26,CHE,fdp.dieliberalen,470915,2012,116,2899,367,481,fdp_liberalen,39250641,233,39,165,94,1,15.1,30,200,1,0,6.3249,0,0,0,1.7939212,3.07142857,340,0.110596604,1.061819329,7996861,67464,4.491,4.49,50733,9.169074742,8.1,126.4538605,81964.88642,85.2,NA,332,23.1307242532378,0,2,0.21689769919206056,-0.4719464447944361,-0.4123279244393112,-0.500048636570137,-0.4718476358057122,-0.5156283817351069,-0.17387402342994734,0.13554624267220464,-0.504415129430283,-0.716469522295741,15,1,1,3,11,np
1231,26,CHE,fdp.dieliberalen,470915,2013,48,1153,114,196,fdp_liberalen,39250641,147,62,124,59,2,15.1,30,200,1,0,6.3249,0,0,0,1.7939212,3.07142857,341,0.628360675,1.149879758,8089346,83892,4.747,4.75,52448,9.256214099,7.9,133.6937084,82479.92154,86.34,NA,1715,27.5696389236167,0,2,0.21689769919206056,-0.4719464447944361,-0.4123279244393112,-0.36715521545342117,-0.3052896485965029,-0.2686701231299446,0.022528460301588095,0.6832106455969396,-0.47113417121180357,-0.5511780412565687,15,1,1,4,11,np
1231,26,CHE,fdp.dieliberalen,470915,2014,204,6348,832,889,fdp_liberalen,39250641,462,423,599,131,25,15.1,30,200,1,0,6.3249,0,0,0,1.7939212,3.07142857,342,1.108693594,1.220103973,8188649,77880,4.826,4.83,62596,9.087339532,7.8,120.2134234,83394.37114,87.4,NA,10148,30.6941700079913,0,2,0.21689769919206056,-0.4719464447944361,-0.4123279244393112,-0.13120172206288663,-0.12645299612490096,-0.0948373705645556,0.20473225464254075,0.48278707666685033,-0.2742040464298041,0.4567055882469318,15,1,1,5,11,np
1231,26,CHE,fdp.dieliberalen,470915,2015,215,16849,2254,906,fdp_liberalen,39250641,712,1585,1073,224,663,16.4,33,200,1,0,6.3249,0,0,0,1.7939212,3.07142857,343,0.494129822,1.138337152,8282396,71488,4.801,4.8,73326,9.556179017,7.8,117.1384822,83806.4476,87.4790556,NA,10730,33.6260372932609,1,2,0.21689769919206056,-0.4719464447944361,-0.4123279244393112,-0.024874505909034842,0.04237775077353384,0.06827656448430658,-0.028389079943498992,0.26969535135062767,-0.06597974224071719,0.5262642592265402,16.5,1,1,6,11,np
1231,26,CHE,fdp.dieliberalen,470915,2016,247,14562,2871,1821,fdp_liberalen,39250641,317,1497,877,253,337,16.4,33,200,1,0,6.3249,0,0,0,1.7939212,3.07142857,344,0.960131673,1.092031174,8373338,70637,4.918,4.92,82668,9.404603141,7.6,123.5659245,84611.09985,89.13468774,NA,9342,37.2690579657645,0,2,0.21689769919206056,-0.4719464447944361,-0.4123279244393112,0.18274820982297713,0.20615692007428432,0.2709553966203842,0.14837853698118503,0.2413253484964184,0.11530930246892399,0.3603751951033505,16.5,1,1,7,11,np
1231,26,CHE,fdp.dieliberalen,470915,2017,202,9928,1219,1559,fdp_liberalen,39250641,243,2143,713,181,250,16.4,33,200,1,0,6.3249,0,0,0,1.7939212,3.07142857,345,0.421326163,0.933155889,8451840,45208,4.797,4.8,93030,10.06163529,7.7,123.6218076,84967.58855,89.68614767,NA,10362,38.7869500220981,0,2,0.21689769919206056,-0.4719464447944361,-0.4123279244393112,0.27473223400457225,0.34753265789011767,0.35540306160574336,-0.05600555673905431,-0.6064076745114392,0.31639226985078034,0.48228214424287025,16.5,1,1,8,11,np
