author_id,twitter_handle,year,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt
22262225,Demarit,2018,904,14530,3715,1006,1752
22262225,Demarit,2019,896,25596,4500,1979,1317
22262225,Demarit,2020,463,25994,3272,2435,1435
22262225,Demarit,2021,265,15459,1919,3248,781
22360764,kokoomus,2009,32,1,0,0,NA
22360764,kokoomus,2010,138,4,68,0,6
22360764,kokoomus,2011,502,19,223,22,28
22360764,kokoomus,2012,138,13,150,40,5
22360764,kokoomus,2013,179,117,243,65,8
22360764,kokoomus,2014,188,745,843,154,16
22360764,kokoomus,2015,485,4187,3537,743,125
22360764,kokoomus,2016,1053,10887,6676,901,653
22360764,kokoomus,2017,1349,17741,6287,1061,1426
22360764,kokoomus,2018,688,14261,2980,1337,2496
22360764,kokoomus,2019,890,27487,5192,3048,3170
22360764,kokoomus,2020,513,28362,3673,2599,2505
22360764,kokoomus,2021,318,22943,2410,5816,726
22473403,vlbelang,2009,224,0,0,1,NA
22473403,vlbelang,2010,442,6,23,2,NA
22473403,vlbelang,2011,1306,52,416,26,NA
22473403,vlbelang,2012,1011,52,335,43,9
22473403,vlbelang,2013,1134,133,1191,217,22
22473403,vlbelang,2014,931,591,2399,370,251
22473403,vlbelang,2015,827,2050,4451,818,388
22473403,vlbelang,2016,972,9617,10193,1574,571
22473403,vlbelang,2017,627,12474,9992,1796,479
22473403,vlbelang,2018,1005,42874,22152,4437,752
22473403,vlbelang,2019,1295,80684,34508,8142,509
22473403,vlbelang,2020,1273,122870,33190,11964,868
22473403,vlbelang,2021,797,59112,14158,5783,516
22628924,sinnfeinireland,2009,484,13,0,2,NA
22628924,sinnfeinireland,2010,379,23,416,0,164
22628924,sinnfeinireland,2011,1110,156,3772,256,226
22628924,sinnfeinireland,2012,2759,767,9717,963,827
22628924,sinnfeinireland,2013,3025,1626,11928,1608,447
22628924,sinnfeinireland,2014,4199,12638,23504,2754,977
22628924,sinnfeinireland,2015,5653,26382,40055,3943,1246
22628924,sinnfeinireland,2016,6583,81536,71109,6788,1612
22628924,sinnfeinireland,2017,6880,249522,150853,17470,1577
22628924,sinnfeinireland,2018,7072,245860,115688,22996,1970
22628924,sinnfeinireland,2019,5440,275747,115869,28819,877
22628924,sinnfeinireland,2020,4054,559529,154914,29404,1469
22628924,sinnfeinireland,2021,1879,167384,53456,10756,451
22799864,grunliberale,2009,66,0,1,0,NA
22799864,grunliberale,2010,34,1,5,0,1
22799864,grunliberale,2011,85,8,70,11,3
22799864,grunliberale,2012,51,14,62,7,NA
22799864,grunliberale,2013,46,52,166,38,1
22799864,grunliberale,2014,145,423,607,156,71
22799864,grunliberale,2015,206,732,1193,96,351
22799864,grunliberale,2016,174,1625,1263,104,299
22799864,grunliberale,2017,172,2604,1224,119,472
22799864,grunliberale,2018,325,7628,2599,403,807
22799864,grunliberale,2019,409,14437,4258,1072,718
22799864,grunliberale,2020,302,11383,2959,714,650
22799864,grunliberale,2021,175,7312,1781,565,262
22930997,STANcz,2009,4,0,0,0,NA
22930997,STANcz,2010,19,0,1,0,29
22930997,STANcz,2011,169,12,40,16,69
22930997,STANcz,2012,378,24,48,12,55
22930997,STANcz,2013,218,34,89,23,92
22930997,STANcz,2014,213,81,98,34,50
22930997,STANcz,2015,53,33,16,15,6
22930997,STANcz,2016,219,256,65,57,66
22930997,STANcz,2017,236,1268,258,319,41
22930997,STANcz,2018,270,4276,423,451,173
22930997,STANcz,2019,279,9223,1043,607,461
22930997,STANcz,2020,341,8854,934,625,720
22930997,STANcz,2021,177,9327,608,881,411
22997097,allianceparty,2009,139,3,1,0,NA
22997097,allianceparty,2010,393,1,115,0,7
22997097,allianceparty,2011,655,9,417,44,46
22997097,allianceparty,2012,684,33,784,203,365
22997097,allianceparty,2013,1166,313,1751,528,890
22997097,allianceparty,2014,1314,1830,2671,921,1963
22997097,allianceparty,2015,1610,3793,4303,1188,880
22997097,allianceparty,2016,1309,6214,4525,790,845
22997097,allianceparty,2017,1423,17139,8089,1687,993
22997097,allianceparty,2018,935,20548,6685,2095,1096
22997097,allianceparty,2019,1338,66837,16072,5726,1705
22997097,allianceparty,2020,1001,34270,9504,2972,776
22997097,allianceparty,2021,667,22275,5408,2495,633
23077161,Feministerna,2009,190,5,0,0,45
23077161,Feministerna,2010,220,19,302,0,94
23077161,Feministerna,2011,478,24,763,64,201
23077161,Feministerna,2012,279,117,790,135,85
23077161,Feministerna,2013,690,1245,2221,444,259
23077161,Feministerna,2014,5087,38211,24492,4086,5348
23077161,Feministerna,2015,846,4201,3187,656,1910
23077161,Feministerna,2016,297,3491,2676,608,1016
23077161,Feministerna,2017,209,3275,2004,930,740
23077161,Feministerna,2018,1549,18602,9113,3873,2323
23077161,Feministerna,2019,737,6594,3191,1293,1373
23077161,Feministerna,2020,844,7442,2419,1986,692
23077161,Feministerna,2021,396,3288,999,515,297
23082224,lsdsp,2009,141,0,4,0,2
23082224,lsdsp,2010,46,0,44,0,33
23082224,lsdsp,2011,9,0,3,0,2
23082224,lsdsp,2012,1,0,0,0,NA
23082224,lsdsp,2013,1,0,0,0,NA
23082224,lsdsp,2014,5,0,2,0,NA
23082224,lsdsp,2015,4,1,4,0,NA
23082224,lsdsp,2017,5,4,1,2,NA
23082224,lsdsp,2019,1,0,0,0,NA
23770198,cdavandaag,2009,414,2,5,0,NA
23770198,cdavandaag,2010,203,6,219,0,1
23770198,cdavandaag,2011,372,39,1097,218,45
23770198,cdavandaag,2012,988,197,5397,852,141
23770198,cdavandaag,2013,1129,143,3896,873,165
23770198,cdavandaag,2014,2974,821,10454,1948,698
